Covidence #,Study ID,Title,Reviewer Name,Study DOI,Year published ,Full title,Study setting ,Disease type (choose all that apply),Model type,"""Other"" details",Stochasticity in model ,Scientific problem being solved,How many parameters were calibrated?,External beliefs or evidence,Choice of parameters to calibrate ,What justification was provided for choice of parameters to calibrate?,"""Other"" details.",Type of data used for defining calibration targets (select all that apply),"""Other"" details ",How many calibration targets were used for estimation?,Resolution of data  used for defining calibration targets,Number of steps: single or sequential? ,Name of calibration algorithm ,"""Other"" details ",Is calibration implementation (code) available in an open-access repository? ,What programming language was used for calibration?,Do authors list any programming packages used for calibration?,Goodness-of-fit (GOF) measure employed within calibration algorithm,"If ""Not clear"", paste the relevant text here. ","""Other"" details",Nature of calibration results,"""Other"" details",How are calibration results reported? ,"""Other"" details.",How is uncertainty in calibration outputs reported? ,"""Other"" details.", What is the size of the calibration output?
3256,Arinaminpathy 2023,The potential impact of vaccination on tuberculosis burden in India: A modelling analysis,Consensus,https://doi.org/10.4103/ijmr.ijmr_328_23,2023,The potential impact of vaccination on tuberculosis burden in India: A modelling analysis,India,TB,Compartmental ,"",Deterministic model ,Evaluate interventions,Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Not reported ,"","Demographic (e.g., population size, sex and age distribution); Notifications / diagnoses; Prevalence; Treatment and treatment outcomes (e.g., mortality, recovery)","",Multiple ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ; Modeled estimates  (e.g., WHO TB incidence estimates)",Not reported,Markov Chain Monte Carlo,"",Not reported ,Matlab,No,Data likelihood ,"","",Point estimate (single parameter / parameter set),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","",10000
3251,Clark 2023,The impact of alternative delivery strategies for novel tuberculosis vaccines in low-income and middle-income countries: a modelling study,Consensus,https://doi.org/10.1016/S2214-109X(23)00045-1,2023,The impact of alternative delivery strategies for novel tuberculosis vaccines in low-income and middle-income countries: a modelling study,105 LMICs (Country names not reported),TB,Compartmental ,105 LMICs (Country names not reported),Deterministic model ,"Understand disease mechanisms (e.g., through inference on a parameter) ; Evaluate interventions",Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Not reported ,"","Incidence ; Notifications / diagnoses; Prevalence; Treatment and treatment outcomes (e.g., mortality, recovery); Other ","fraction subclinical vs. active;  risk ratio of active tuberculosis for high-
access-to-care relative to low-access-to-care",Multiple ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ; Modeled estimates  (e.g., WHO TB incidence estimates)",Calibration was done sequentially: different parameters (or subsets of parameters) were calibrated over multiple rounds. ,Least squares estimation,"",Link reported and accessible,R,Yes,Not clear,"Once we had obtained 1000 parameter sets that produced output consistent with the calibration targets, we used
those parameter sets with the mechanistic model to simulate the future (step 3) for each country","",Sample estimate (multiple parameter sets),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","",1000
3237,Nsengiyumva 2022,Scaling up target regimens for tuberculosis preventive treatment in Brazil and South Africa: An analysis of costs and cost-effectiveness,Consensus,https://doi.org/10.1371/journal.pmed.1004032,2022,Scaling up target regimens for tuberculosis preventive treatment in Brazil and South Africa: An analysis of costs and cost-effectiveness,"South Africa, Brazil",TB,Compartmental ,"",Deterministic model ,Evaluate interventions,Multiple,Not reported,Subset of parameters,Parameters are uncertain.,"","Incidence ; Notifications / diagnoses; Treatment and treatment outcomes (e.g., mortality, recovery)","HIV burden, MDR-TB incidence, Proportion of HIV+on ART (%), Proportion of those on ART that have received TPT (%)",Multiple ,"Modeled estimates  (e.g., WHO TB incidence estimates)",Not reported,Markov Chain Monte Carlo,"",Link reported and accessible,Not reported,No,Not reported,"","",Sample estimate (multiple parameter sets),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","",1000
3233,Torres 2023,Quantitative Assessment of a Dual Epidemic Caused by Tuberculosis and HIV in the Philippines,Consensus,https://doi.org/10.1007/s11538-023-01156-1,2023,"Quantitative Assessment of a Dual Epidemic Caused by
Tuberculosis and HIV in the Philippines",Philippines,HIV; TB,Compartmental ,"",Not reported,"Understand disease mechanisms (e.g., through inference on a parameter) ; Predict disease trends ",Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Parameters are uncertain.,"","Demographic (e.g., population size, sex and age distribution); Notifications / diagnoses; Treatment and treatment outcomes (e.g., mortality, recovery)","",Multiple ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ; Modeled estimates  (e.g., WHO TB incidence estimates)",Not reported,Least squares estimation,"",Not reported ,Matlab,No,Ad-hoc distance function (as in Approximate Bayesian Computation or least squares),"","",Sample estimate (multiple parameter sets),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","",Not reported
3227,Salvatore 2019,Projecting the impact of variable MDR-TB transmission efficiency on long-term epidemic trends in South Africa and Vietnam,Consensus,https://doi.org/10.1038/s41598-019-54561-9,2019,Projecting the impact of variable MDR-TB transmission efficiency on long-term epidemic trends in South Africa and Vietnam,"South Africa, Vietnam ",TB,Compartmental ,"",Deterministic model ,"Understand disease mechanisms (e.g., through inference on a parameter) ; Predict disease trends ",Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",All parameters,Parameters are uncertain.,"",Incidence ; Other ,"proportion of HIV-positive patients among incident TB cases, the proportion 
of MDR-TB among recently-diagnosed TB in new patients and, separately, in previously-treated patients ",Multiple ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ; Modeled estimates  (e.g., WHO TB incidence estimates)",Calibration was done sequentially: different parameters (or subsets of parameters) were calibrated over multiple rounds. ,Other ,Semi-Bayesian Sampling/Importance-Resampling algorithm,Not reported ,Not reported,No,Other ,"",Bayes Factor,Distribution estimate (a distribution function which generates parameter values),"","Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","135,000"
3222,Goodell 2019,Outlook for tuberculosis elimination in California: An individual-based stochastic model,Consensus,https://doi.org/10.1371/journal.pone.0214532,2019,Outlook for tuberculosis elimination in California: An individual-based stochastic model,USA,TB,Individual-based ,"",Stochastic model ,Evaluate interventions,Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Not reported ,"","Contact/exposure (e.g., number of sexual partners, number of mosquito bites); Incidence ; Notifications / diagnoses; Prevalence","",Multiple ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ; Modeled estimates  (e.g., WHO TB incidence estimates)",Calibration was done sequentially: different parameters (or subsets of parameters) were calibrated over multiple rounds. ,Manual (hand-tuning),"",Link reported and accessible,Python; Other ,No,Not reported,"","",Point estimate (single parameter / parameter set),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","",Uncertainty in calibration outputs is not reported.,"",1
3216,Adeyemo 2023,Modeling Transmission Dynamics of Tuberculosis-HIV Co-Infection in South Africa,Consensus,https://doi.org/10.3390/epidemiologia4040036 ,2023,Modeling Transmission Dynamics of Tuberculosis–HIV Co-Infection in South Africa,South Africa,HIV; TB,Compartmental ,"",Deterministic model ,"Understand disease mechanisms (e.g., through inference on a parameter) ; Predict disease trends ",Not reported,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Not reported ,"",Not reported ,"",Not reported ,Not reported ,Not reported,Other: Other,Method of moments,Link reported and accessible,R,No,Not reported,"","",Not reported ,"",Calibration results are not reported. ,"",Uncertainty in calibration outputs is not reported.,"",Not reported
3189,Renardy 2019,Evaluating vaccination strategies for tuberculosis in endemic and non-endemic settings,Consensus,https://doi.org/10.1016/j.jtbi.2019.02.020,2019,Evaluating vaccination strategies for tuberculosis in endemic and non-endemic settings,"USA, Cambodia",TB,Compartmental ,"",Not reported,Evaluate interventions,Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Not reported ,"",Incidence ,"",Multiple ,Not reported ,Calibration was done sequentially: different parameters (or subsets of parameters) were calibrated over multiple rounds. ,Not reported,"",Not reported ,Matlab,No,Ad-hoc distance function (as in Approximate Bayesian Computation or least squares),"","",Point estimate (single parameter / parameter set),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","",1
3187,Xue 2022,Evaluating Strategies For Tuberculosis to Achieve the Goals of WHO in China: A Seasonal Age-Structured Model Study,Consensus,https://doi.org/10.1007/s11538-022-01019-1,2022,Evaluating Strategies For Tuberculosis to Achieve the Goals of WHO in China: A Seasonal Age-Structured Model Study,China,TB,Compartmental ,"",Not reported,Evaluate interventions,Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",All parameters,Parameters are uncertain.,"","Demographic (e.g., population size, sex and age distribution); Prevalence","",Multiple ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ",Not reported,Markov Chain Monte Carlo,"",Not reported ,Not reported,No,Data likelihood ,"","",Sample estimate (multiple parameter sets),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","50,000"
3184,Wen 2022,Effect of different interventions for latent tuberculosis infections in China: a model-based study,Consensus,https://doi.org/10.1186/s12879-022-07465-5,2022,"Effect of different interventions for latent tuberculosis infections in China: a model-based 
study",China,TB,Compartmental ,"",Not reported,Evaluate interventions,Multiple,Not reported,Subset of parameters,Not reported ,"",Incidence ,"",Single ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ",Not reported,Maximum likelihood estimation,"",Not reported ,R,Yes,Other ,"", Chi-square test,Not reported ,"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","",Uncertainty in calibration outputs is not reported.,"",Not reported
