Covidence.ID,Other_Type.of.data.used.for.defining.calibration.targets..select.all.that.apply.,Léa's Proposed Reclassifications,,,,,,,
3251,fraction subclinical vs. Active,Disease severity/ clinical status,,,,,,,
3251,"risk ratio of active tuberculosis for high-
access-to-care relative to low-access-to-care","Treatment and treatment outcomes (e.g., mortality, recovery)",,,,,,,Predifined categories
3237,HIV burden,N/A,,,,,,,"Climate (e.g., temperature, humidity, rainfall)"
3237, MDR-TB incidence,Incidence,,,,,,,"Contact/exposure (e.g., number of sexual partners, number of mosquito bites)"
3237, Proportion of HIV+on ART (%),"Treatment and treatment outcomes (e.g., mortality, recovery)",,,,,,,Cost
3237, Proportion of those on ART that have received TPT (%),"Treatment and treatment outcomes (e.g., mortality, recovery)",,,,,,,"Demographic (e.g., population size, sex and age distribution)"
3227,proportion of HIV-positive patients among incident TB cases,N/A,,,,,,,Effect sizes from trials
3227, the proportion of MDR-TB among recently-diagnosed TB in new patients ,Drug resitance,,,,,,,Incidence
3227, proportion of MDR-TB among previously-treated patients ,Drug resitance,,,,,,,Notifications / diagnoses
3115,Case notification rate,Notifications / diagnoses,,,,,,,Prevalence
3115,male to female ratios,"Demographic (e.g., population size, sex and age distribution)",,,,,,,Spatial
3115,proportion multidrug resistant TB,Drug resitance,,,,,,,"Treatment and treatment outcomes (e.g., mortality, recovery)"
3047,Mortality,"Treatment and treatment outcomes (e.g., mortality, recovery)",,,,,,,
2999,Mortality,"Treatment and treatment outcomes (e.g., mortality, recovery)",,,,,,,
2756,proportion using stimulants,N/A,,,,,,,
2664,Deaths,"Treatment and treatment outcomes (e.g., mortality, recovery)",,,,,,,
2561,"age-specific and sex-specific awareness of HIV 
status in 2005, 2008, 2011, 2013, and 2019",Notifications / diagnoses,"Demographic (e.g., population size, sex and age distribution)",,,,,,
2507,cumulative infection,Prevalence,,,,,,,
2431,Transmission Cluster Size,N/A,,,,,,,
2404,Disease severity,Disease severity/ clinical status,,,,,,,
2393,Mortality,"Treatment and treatment outcomes (e.g., mortality, recovery)",,,,,,,
2384,Mortality,"Treatment and treatment outcomes (e.g., mortality, recovery)",,,,,,,
2373,proportion MDR-TB,Drug resitance,,,,,,,
2373, proportion from household transmission,N/A,,,,,,,
2351,Ecological: the number of vectors,"Contact/exposure (e.g., number of sexual partners, number of mosquito bites)",,,,,,,
2318,mosquito populations with and without biolarvicide use,"Contact/exposure (e.g., number of sexual partners, number of mosquito bites)",,,,,,,
2293,Probability of active disease,Disease severity/ clinical status,,,,,,,
2285,estimated proportion of incident TB disease having DR-TB,Drug resitance,,,,,,,
2213,Mosquito population data,"Contact/exposure (e.g., number of sexual partners, number of mosquito bites)",,,,,,,
2213, incubation period,N/A,,,,,,,
2213, the time to first relapse,"Treatment and treatment outcomes (e.g., mortality, recovery)",,,,,,,
2197,Groundwater table data,"Climate (e.g., temperature, humidity, rainfall)",,,,,,,
2197, soil moisture data,"Climate (e.g., temperature, humidity, rainfall)",,,,,,,
2155,drug resistant TB fraction,Drug resitance,,,,,,,
2155, symptomatic fraction,Disease severity/ clinical status,,,,,,,
2155, smear-positive fraction,Notifications / diagnoses,,,,,,,
2098,Vector ecology (P. falciparum parasite rate),"Contact/exposure (e.g., number of sexual partners, number of mosquito bites)",,,,,,,
2088,Percent of incident TB that is drug-resistant,Drug resitance,,,,,,,
2061,Proportion of imported cases,N/A,,,,,,,
2059,parasite prevalence,"Contact/exposure (e.g., number of sexual partners, number of mosquito bites)",,,,,,,
2058,drug-resistance prevalence,Drug resitance,,,,,,,
2040,DS-TB basic reproductive number,N/A,,,,,,,
2040, TB basic reproductive number,N/A,,,,,,,
2007, number of individuals using insecticide-treated net (ITNs) improperly ,"Contact/exposure (e.g., number of sexual partners, number of mosquito bites)",,,,,,,
1982,subclinical TB proportion,Disease severity/ clinical status,,,,,,,
1982,TB prevalence rate ratio by access-to-care ,Prevalence,"Treatment and treatment outcomes (e.g., mortality, recovery)",,,,,,
1970,proportion of bed net use ,"Contact/exposure (e.g., number of sexual partners, number of mosquito bites)",,,,,,,
1954,Mortality,"Treatment and treatment outcomes (e.g., mortality, recovery)",,,,,,,
1954, Proportion of prevalent TB that is subclinical,Disease severity/ clinical status,,,,,,,
1954,Protection against reinfection in early compartments,N/A,,,,,,,
1954,Reactivation rate,"Treatment and treatment outcomes (e.g., mortality, recovery)",,,,,,,
1871,the annual reported TB cases,Notifications / diagnoses,,,,,,,
1861,Fraction of drug resistance,Drug resitance,,,,,,,
1847,Percent of MDR in all patients,Drug resitance,,,,,,,
1847, Percent of MDR in new patients,Drug resitance,,,,,,,
1847, Percent of MDR in retreatment patients,Drug resitance,,,,,,,
1826,transmission linkages between migrants and residents ,N/A,,,,,,,
1754,TB detection data,Notifications / diagnoses,,,,,,,
1673,Mosquito life expectancy,N/A,,,,,,,
1673, duration of gonotrophic cycle,N/A,,,,,,,
1673, the duration of the sporogonic cycle,N/A,,,,,,,
1586,Incidence of MDR- and DS-TB,Incidence,,,,,,,
