"Covidence.ID","Name.of.calibration.algorithm","Other_Name.of.calibration.algorithm","Other_Name.of.calibration.algorithm_V2"
3256,"Markov Chain Monte Carlo","",""
3251,"Least squares estimation","",""
3237,"Markov Chain Monte Carlo","",""
3233,"Least squares estimation","",""
3227,"Other ","Semi-Bayesian Sampling/Importance-Resampling algorithm","Sampling importance resampling"
3222,"Manual (hand-tuning)","",""
3216,"Other ","Method of moments","Method of moments"
3189,"Not reported","",""
3187,"Markov Chain Monte Carlo","",""
3184,"Maximum likelihood estimation","",""
3123,"Maximum likelihood estimation","",""
3115,"Approximate Bayesian Computation","",""
3106,"Least squares estimation","",""
3097,"Other ","Monte Carlo filtering","Monte-Carlo filtering"
3096,"Least squares estimation","",""
3090,"Approximate Bayesian Computation","",""
3049,"Other ","Latin Hypercube Sampling","Latin Hypercube Sampling"
3047,"Not reported","",""
3034,"Other ","Approximate Bayesian Computation Sequential Monte Carlo scheme","Aproximate Bayesian Computation Sequential Monte Carlo (ABC-SMC)"
3014,"Markov Chain Monte Carlo","",""
3009,"Other ","parallel simultaneous perturbation optimization ","Parallel Simultaneous perturbation Optimisation (PSPO)"
3008,"Other ","Monte-Carlo filtering ","Monte-Carlo filtering"
2999,"Other ","incremental mixture importance sampling (IMIS)","Incremental Mixture Importance Sampling (IMIS)"
2966,"Maximum likelihood estimation","",""
2949,"Not reported","",""
2872,"Least squares estimation","",""
2793,"Markov Chain Monte Carlo","",""
2756,"Maximum likelihood estimation","",""
2742,"Least squares estimation","",""
2740,"Not reported","",""
2734,"Approximate Bayesian Computation","",""
2717,"Not reported","",""
2710,"Maximum likelihood estimation","",""
2701,"Least squares estimation","",""
2690,"Least squares estimation","",""
2664,"Least squares estimation","",""
2644,"Least squares estimation","",""
2628,"Not reported","",""
2598,"Least squares estimation","",""
2574,"Markov Chain Monte Carlo","",""
2561,"Other ","the procedure by which 
the model was calibrated to these data is as follows: the model was run using 50000 parameter sets generated using Latin hypercube sampling in which certain parameters are allowed to vary within defined ranges (appendix p 24); for each parameter set the likelihood of the observed survey data given the corresponding modelled outputs was calculated. The ten parameter sets with the highest likelihood were selected for use in all 
further model analyses","the procedure by which 
the model was calibrated to these data is as follows: the model was run using 50000 parameter sets generated using Latin hypercube sampling in which certain parameters are allowed to vary within defined ranges (appendix p 24); for each parameter set the likelihood of the observed survey data given the corresponding modelled outputs was calculated. The ten parameter sets with the highest likelihood were selected for use in all 
further model analyses"
2550,"Maximum likelihood estimation","",""
2542,"Not reported","",""
2507,"Least squares estimation","",""
2470,"Maximum likelihood estimation","",""
2441,"Maximum likelihood estimation","",""
2439,"Maximum likelihood estimation","",""
2437,"Least squares estimation","",""
2431,"Maximum likelihood estimation","",""
2425,"Markov Chain Monte Carlo","",""
2421,"Maximum likelihood estimation","",""
2412,"Least squares estimation","",""
2410,"Other ","history matching with emulation, ABC-MCMC","history matching with emulation, ABC-MCMC"
2404,"Markov Chain Monte Carlo","",""
2393,"Other ","Iterative, directed-search Nelder-Mead (NM) method","Nelder-Mead algorithm"
2384,"Markov Chain Monte Carlo","",""
2373,"Other ","Sampling Importance Resampling","Sampling importance resampling"
2366,"Other ","sample-importance-resampling ","Sampling importance resampling"
2358,"Least squares estimation","",""
2353,"Maximum likelihood estimation","",""
2351,"Least squares estimation","",""
2346,"Not reported","",""
2344,"Other "," Levemberg–Marquard optimization algorithm "," Levemberg–Marquard optimization algorithm "
2326,"Markov Chain Monte Carlo","",""
2324,"Maximum likelihood estimation","",""
2323,"Markov Chain Monte Carlo","",""
2318,"Least squares estimation","",""
2315,"Least squares estimation","",""
2312,"Least squares estimation","",""
2293,"Maximum likelihood estimation","",""
2290,"Markov Chain Monte Carlo","",""
2285,"Maximum likelihood estimation","",""
2274,"Markov Chain Monte Carlo","",""
2243,"Least squares estimation","",""
2242,"Least squares estimation","",""
2233,"Other ","Latin Hypercube Sampling","Latin Hypercube Sampling"
2228,"Not reported","",""
2214,"Not reported","",""
2213,"Least squares estimation","",""
2211,"Maximum likelihood estimation","",""
2205,"Least squares estimation","",""
2197,"Least squares estimation","",""
2193,"Least squares estimation","",""
2155,"Manual (hand-tuning)","",""
2137,"Markov Chain Monte Carlo","",""
2131,"Least squares estimation","",""
2128,"Not reported","",""
2122,"Other "," Grey Wolf Optimizer + MCMC"," Grey Wolf Optimizer + MCMC"
2098,"Not reported","",""
2093,"Least squares estimation","",""
2088,"Other "," Bayesian melding","Bayesian melding"
2084,"Least squares estimation","",""
2083,"Least squares estimation","",""
2078,"Markov Chain Monte Carlo","",""
2061,"Other ","inference on parameter in the Bayesian framework","inference on parameter in the Bayesian framework"
2059,"Not reported","",""
2058,"Markov Chain Monte Carlo","",""
2052,"Maximum likelihood estimation","",""
2048,"Markov Chain Monte Carlo","",""
2047,"Least squares estimation","",""
2046,"Other ","Two-step calibration: box optimization first, followed by ABC","Two-step calibration: box optimization first, followed by ABC"
2040,"Least squares estimation","",""
2039,"Other ","Maximum likelihood estimation, Least squares estimation, Latin hypercube sampling","Maximum likelihood estimation, Least squares estimation, Latin hypercube sampling"
2020,"Least squares estimation","",""
2016,"Least squares estimation","",""
2007,"Not reported","",""
2005,"Markov Chain Monte Carlo","",""
1995,"Not reported","",""
1990,"Markov Chain Monte Carlo","",""
1983,"Not reported","",""
1982,"Other ","History matching with emulation","History matching with emulation"
1976,"Least squares estimation","",""
1970,"Other ","sequential Monte Carlo method based on particle filtering","Sequential Monte Carlo method based on particle filtering"
1966,"Not reported","",""
1961,"Maximum likelihood estimation","",""
1960,"Not reported","",""
1958,"Least squares estimation","",""
1957,"Least squares estimation","",""
1954,"Other "," history matching with emulation","History matching with emulation"
1953,"Not reported","",""
1951,"Maximum likelihood estimation","",""
