Covidence #,Study ID,Title,Reviewer Name,Study DOI,Year published ,Full title,Study setting ,Disease type (choose all that apply),Model type,"""Other"" details",Stochasticity in model ,Scientific problem being solved,How many parameters were calibrated?,External beliefs or evidence,Choice of parameters to calibrate ,What justification was provided for choice of parameters to calibrate?,"""Other"" details.",Type of data used for defining calibration targets (select all that apply),"""Other"" details ",How many calibration targets were used for estimation?,Resolution of data  used for defining calibration targets,Number of steps: single or sequential? ,Name of calibration algorithm ,"""Other"" details ",Is calibration implementation (code) available in an open-access repository? ,What programming language was used for calibration?,Do authors list any programming packages used for calibration?,Goodness-of-fit (GOF) measure employed within calibration algorithm,"If ""Not clear"", paste the relevant text here. ","""Other"" details",Nature of calibration results,"""Other"" details",How are calibration results reported? ,"""Other"" details.",How is uncertainty in calibration outputs reported? ,"""Other"" details.", What is the size of the calibration output?
3256,Arinaminpathy 2023,The potential impact of vaccination on tuberculosis burden in India: A modelling analysis,Consensus,https://doi.org/10.4103/ijmr.ijmr_328_23,2023,The potential impact of vaccination on tuberculosis burden in India: A modelling analysis,India,TB,Compartmental ,"",Deterministic model ,Evaluate interventions,Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Not reported ,"","Demographic (e.g., population size, sex and age distribution); Notifications / diagnoses; Prevalence; Treatment and treatment outcomes (e.g., mortality, recovery)","",Multiple ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ; Modeled estimates  (e.g., WHO TB incidence estimates)",Not reported,Markov Chain Monte Carlo,"",Not reported ,Matlab,No,Data likelihood ,"","",Point estimate (single parameter / parameter set),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","",10000
3251,Clark 2023,The impact of alternative delivery strategies for novel tuberculosis vaccines in low-income and middle-income countries: a modelling study,Consensus,https://doi.org/10.1016/S2214-109X(23)00045-1,2023,The impact of alternative delivery strategies for novel tuberculosis vaccines in low-income and middle-income countries: a modelling study,105 LMICs,TB,Compartmental ,"",Deterministic model ,Evaluate interventions,Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Not reported ,"","Incidence ; Notifications / diagnoses; Prevalence; Treatment and treatment outcomes (e.g., mortality, recovery); Other ","fraction subclinical vs. active;  risk ratio of active tuberculosis for high-
access-to-care relative to low-access-to-care",Multiple ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ; Modeled estimates  (e.g., WHO TB incidence estimates)",Calibration was done sequentially: different parameters (or subsets of parameters) were calibrated over multiple rounds. ,Least squares estimation,history matching with emulation (HME); then Approximate Bayesian Computation using Markov Chain Monte Carlo for which HME failed.,Link reported and accessible,R,Yes,Not clear,"Once we had obtained 1000 parameter sets that produced output consistent with the calibration targets, we used
those parameter sets with the mechanistic model to simulate the future (step 3) for each country","",Sample estimate (multiple parameter sets),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","",1000
3216,Adeyemo 2023,Modeling Transmission Dynamics of Tuberculosis-HIV Co-Infection in South Africa,Consensus,https://doi.org/10.3390/epidemiologia4040036 ,2023,Modeling Transmission Dynamics of Tuberculosis–HIV Co-Infection in South Africa,South Africa,HIV; TB,Compartmental ,"",Deterministic model ,"Understand disease mechanisms (e.g., through inference on a parameter) ; Predict disease trends ",Not reported,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Not reported ,"",Not reported ,"",Not reported ,Not reported ,Not reported,Other: Method of moments,"",Link reported and accessible,R,No,Not reported,"","",Not reported ,"",Calibration results are not reported. ,"",Uncertainty in calibration outputs is not reported.,"",Not reported
3115,Horton 2022,Population benefits of addressing programmatic and social determinants of gender disparities in tuberculosis in Viet Nam: A modelling study.,Consensus,https://doi.org/10.1371/journal.pgph.0000784,2022,Population benefits of addressing programmatic and social determinants of gender disparities in tuberculosis in Viet Nam: A modelling study,Viet Nam,TB,Compartmental ,"",Not reported,Evaluate interventions,Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Not reported ,"","Demographic (e.g., population size, sex and age distribution); Incidence ; Notifications / diagnoses; Prevalence; Treatment and treatment outcomes (e.g., mortality, recovery); Other ",Case notification rate; male to female ratios; proportion multidrug resistant TB,Multiple ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ; Modeled estimates  (e.g., WHO TB incidence estimates)",Calibration was done sequentially: different parameters (or subsets of parameters) were calibrated over multiple rounds. ,Approximate Bayesian Computation,"",Not reported ,R,Yes,Not reported,"","",Sample estimate (multiple parameter sets),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","",1000
3106,Awine 2022,Assessing the effectiveness of malaria interventions at the regional level in Ghana using a mathematical modelling application.,Consensus,https://doi.org/10.1371/journal.pgph.0000474,2022,Assessing the effectiveness of malaria interventions at the regional level in Ghana using a mathematical modelling application.,Ghana,Malaria,Compartmental ,"",Not reported,Evaluate interventions; Predict disease trends ,Multiple,Not reported,Subset of parameters,Not reported ,"","Climate (e.g., temperature, humidity, rainfall)","",Multiple ,"Modeled estimates  (e.g., WHO TB incidence estimates)",Not reported,Least squares estimation,"",Link reported and accessible,R,Yes,Ad-hoc distance function (as in Approximate Bayesian Computation or least squares),"","",Point estimate (single parameter / parameter set),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","",Uncertainty in calibration outputs is not reported.,"",1
3047,Doan 2019,Strategic investment in tuberculosis control in the Republic of Bulgaria.,Consensus," https://doi.org/
10.1017/S0950268819001857",2019,"Strategic investment in tuberculosis control in
the Republic of Bulgaria",Bulgaria,TB,Compartmental ,"",Not reported,Evaluate interventions,Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Parameters are uncertain.,"",Incidence ; Notifications / diagnoses; Prevalence; Other ,Mortality,Multiple ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ; Modeled estimates  (e.g., WHO TB incidence estimates)",Not reported,Not reported,"",Not reported ,Not reported,No,Not reported,"","",Point estimate (single parameter / parameter set),"","Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","",Not reported
3009,Bershteyn 2018,The influence of mobility among high-risk populations on HIV transmission in Western Kenya.,Consensus,https://doi.org/10.1016/j.idm.2018.04.001,2018,The influence of mobility among high-risk populations on HIV transmission in Western Kenya,Kenya,HIV,Individual-based ,"",Stochastic model ,"Understand disease mechanisms (e.g., through inference on a parameter) ",Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Not reported ,"","Demographic (e.g., population size, sex and age distribution); Prevalence","",Multiple ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ; Modeled estimates  (e.g., WHO TB incidence estimates)",Not reported,Other ,parallel simultaneous perturbation optimization ,Not reported ,Not reported,No,Data likelihood ,"","",Sample estimate (multiple parameter sets),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Numerical: As uncertainty intervals around estimates or model outputs. e.g., 95% CI: 1.5 - 4.5.; Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","",250
2999,Chang 2018,Small contribution of gold mines to the ongoing tuberculosis epidemic in South Africa: A modeling-based study,Consensus,https://doi.org/10.1186/s12916-018-1037-3,2018,Small contribution of gold mines to the ongoing tuberculosis epidemic in South Africa: a modeling-based study,South Africa,HIV; TB,Individual-based ,"",Stochastic model ,"Understand disease mechanisms (e.g., through inference on a parameter) ; Predict disease trends ",Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Parameters are uncertain.,"",Incidence ; Other ,Mortality,Multiple ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ",Calibration was done sequentially: different parameters (or subsets of parameters) were calibrated over multiple rounds. ,Other ,incremental mixture importance sampling (IMIS),Not reported ,Not reported,No,Data likelihood ,"","",Distribution estimate (a distribution function which generates parameter values),"","Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","",200
2756,Bórquez 2020,Integrating HIV pre‐exposure prophylaxis and harm reduction among men who have sex with men and transgender women to address intersecting harms associated with stimulant use: a modelling study.,Consensus,10.1002/jia2.25495,2020,Integrating HIV pre-exposure prophylaxis and harm reduction among men who have sex with men and transgender women to address intersecting harms associated with stimulant use: a modelling study,Peru,HIV,Compartmental ,"",Not reported,"Understand disease mechanisms (e.g., through inference on a parameter) ; Evaluate interventions",Multiple,"Prior knowledge is incorporated for at least one parameter to be calibrated; e.g., as a prior distribution over the parameter.",Subset of parameters,Parameters are relevant to question of interest.,"","Demographic (e.g., population size, sex and age distribution); Incidence ; Prevalence; Treatment and treatment outcomes (e.g., mortality, recovery)",proportion using stimulants,Multiple ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ","Calibration was done as a single step (i.e., all parameters were calibrated at once). ",Maximum likelihood estimation,"",Not reported ,Matlab,Yes,Data likelihood ,"","",Sample estimate (multiple parameter sets),"","Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","","Graphical: As a plot; e.g., a line with shaded areas indicating uncertainty intervals ","","10,000"
2550,Ajao 2023,Understanding the Transmission Dynamics and Control of HIV Infection: A Mathematical Model Approach.,Consensus,https:/doi.org/10.46481/jnsps.2023.1389,2023,Understanding the Transmission Dynamics and Control of HIV Infection: A Mathematical Model Approach,Nigeria,HIV,Compartmental ,"",Deterministic model ,"Understand disease mechanisms (e.g., through inference on a parameter) ",Multiple,Not reported,Subset of parameters,Not reported ,"",Prevalence,"",Single ,"Empirical data or statistical summaries of empirical data (e.g., WHO case notification data) ",Not reported,Maximum likelihood estimation,"",Not reported ,Not reported,No,Data likelihood ,"","",Point estimate (single parameter / parameter set),"","Numerical: e.g. as value(s).; Graphical: e.g., as a plot of calibrated model trend versus calibration targets. ","",Uncertainty in calibration outputs is not reported.,"",1
